id,name,category,description,price,image_url,stock,rating_avg
30,Coffee Grinder Burr,Home & Kitchen,"Conical burr coffee grinder with 40 grind settings, 8-oz bean hopper, and removable grinding bowl. Consistent grind for any brewing method.",49.99,https://picsum.photos/seed/40/400/300,178,3.8
31,Hyaluronic Acid Moisturizer,Beauty,"Oil-free moisturizer with triple-weight hyaluronic acid for plumping hydration. Fragrance-free, non-comedogenic, and fast-absorbing.",22.99,https://picsum.photos/seed/41/400/300,94,3.9
32,Natural Lip Balm Set,Beauty,"Set of 8 tinted and clear organic lip balms with SPF 15. Made with beeswax, shea butter, and natural flavors. Zero plastic packaging.",18.99,https://picsum.photos/seed/42/400/300,27,5.0
33,Puzzle 1000 Piece,Toys,1000-piece jigsaw puzzle featuring a vibrant world map design. Made from recycled materials with a smooth finish for easy handling.,22.99,https://picsum.photos/seed/43/400/300,81,4.0
34,Science Kit Kids,Toys,"STEM science kit with 30+ experiments covering chemistry, physics, and biology. Includes safe materials, goggles, and instruction booklet.",39.99,https://picsum.photos/seed/44/400/300,140,4.1
35,Portable SSD 1TB,Electronics,"Compact solid-state drive with 1050MB/s read speeds, USB 3.2 Gen 2 interface, hardware encryption, and shock-resistant casing.",89.99,https://picsum.photos/seed/45/400/300,147,4.0
36,Smart LED Bulbs 4-Pack,Electronics,"16 million color WiFi smart bulbs compatible with Alexa and Google Home. Schedule, dim, and change colors from your smartphone app.",39.99,https://picsum.photos/seed/46/400/300,17,3.7
37,System Design Interview,Books,"Comprehensive guide to ace system design interviews at top tech companies. Covers distributed systems, scalability, and architecture patterns.",34.99,https://picsum.photos/seed/47/400/300,76,3.8
38,The Staff Engineer's Path,Books,"Tanya Reilly's guide to technical leadership beyond the individual contributor track. Covers scope, influence, and career growth.",39.99,https://picsum.photos/seed/48/400/300,77,3.6
39,Foam Roller Muscle,Sports,"High-density foam roller for muscle recovery and myofascial release. 18-inch length, 6-inch diameter, supports up to 500 lbs.",29.99,https://picsum.photos/seed/49/400/300,162,4.2
40,Protein Powder Whey,Sports,"Whey protein isolate powder, 25g protein per serving, 5.5g BCAAs, low sugar, multiple flavors. NSF Certified for Sport.",59.99,https://picsum.photos/seed/50/400/300,196,4.7
41,Dutch Oven 5.5 Qt,Home & Kitchen,"Enameled cast iron Dutch oven perfect for braising, soups, stews, and bread baking. Oven safe to 500°F, dishwasher safe.",89.99,https://picsum.photos/seed/51/400/300,121,4.4
42,Stand Mixer 5 Qt,Home & Kitchen,"Tilt-head stand mixer with 10-speed settings and 5-quart stainless steel bowl. Includes flat beater, dough hook, and wire whip.",249.99,https://picsum.photos/seed/52/400/300,140,3.7
43,Face Wash Gentle,Beauty,Gentle foaming face wash with ceramides and niacinamide. Removes makeup and impurities without stripping skin's natural moisture barrier.,16.99,https://picsum.photos/seed/53/400/300,157,3.8
44,Sheet Mask Set 20,Beauty,"Set of 20 Korean sheet masks in assorted varieties: brightening, hydrating, anti-aging, and soothing. Made with natural botanical extracts.",29.99,https://picsum.photos/seed/54/400/300,21,4.6
45,LEGO Technic Set,Toys,"Advanced LEGO Technic building set with 1,226 pieces. Features working mechanisms including steering and pistons. For ages 11+.",79.99,https://picsum.photos/seed/55/400/300,10,4.3
46,Card Game Exploding,Toys,Highly strategic card game for 2-5 players. Each game lasts 15 minutes. Perfect for parties and family game nights.,19.99,https://picsum.photos/seed/56/400/300,147,4.5
